date,price,open,high,low,volume,change_percent
Jul 29 2012,273.90,267.88,277.31,267.58,22.64M,2.79%
Jul 22 2012,266.47,272.84,274.33,260.60,39.92M,-3.16%
Jul 15 2012,275.17,276.56,279.04,268.17,55.88M,-0.50%
Jul 08 2012,276.54,300.26,310.35,275.08,112.34M,-8.79%
Jul 01 2012,303.18,310.42,312.38,302.61,28.66M,-2.57%
Jun 24 2012,311.19,306.94,312.41,301.31,43.93M,1.40%
Jun 17 2012,306.88,314.39,315.55,300.93,33.02M,-1.91%
Jun 10 2012,312.85,301.00,314.02,297.92,28.04M,4.27%
Jun 03 2012,300.03,294.42,308.67,290.83,31.79M,1.26%
May 27 2012,296.31,296.90,316.50,293.01,46.09M,0.69%
May 20 2012,294.28,295.77,296.27,286.14,27.93M,-0.42%
May 13 2012,295.52,287.75,301.24,285.51,38.52M,3.09%
May 06 2012,286.65,298.76,303.70,284.26,50.72M,-5.35%
Apr 29 2012,302.85,296.65,309.80,296.45,43.20M,2.13%
Apr 22 2012,296.53,296.41,297.40,272.63,127.01M,-0.68%
Apr 15 2012,298.56,297.65,301.17,289.34,104.96M,0.20%
Apr 08 2012,297.96,351.91,354.62,296.29,109.03M,-15.73%
Apr 01 2012,353.59,355.19,358.26,352.34,15.56M,-0.53%
Mar 25 2012,355.48,355.81,360.12,343.26,40.40M,-0.22%
Mar 18 2012,356.27,359.04,359.66,347.63,32.70M,0.27%
Mar 11 2012,355.31,361.52,361.52,344.90,40.89M,0.34%
Mar 04 2012,354.11,354.46,360.03,346.85,30.68M,0.34%
Feb 26 2012,352.92,367.72,367.72,347.87,39.61M,-3.47%
Feb 19 2012,365.62,363.38,371.31,360.30,35.47M,0.01%
Feb 12 2012,365.58,344.19,369.33,341.93,38.10M,5.64%
Feb 05 2012,346.06,347.89,350.00,336.55,37.17M,0.25%
Jan 29 2012,345.18,334.72,346.26,333.61,47.69M,2.14%
Jan 22 2012,337.95,321.21,339.19,321.09,33.58M,5.26%
Jan 15 2012,321.06,320.13,331.48,319.51,52.92M,0.18%
Jan 08 2012,320.49,353.15,359.02,316.53,103.11M,-8.75%
Jan 01 2012,351.24,342.19,358.04,340.06,36.28M,2.33%
Dec 25 2011,343.24,333.74,347.75,333.74,31.41M,2.70%
Dec 18 2011,334.20,333.61,341.65,328.65,50.72M,-1.09%
Dec 11 2011,337.89,337.32,345.87,330.51,54.25M,0.52%
Dec 04 2011,336.13,333.61,343.83,329.92,33.40M,0.60%
Nov 27 2011,334.13,324.94,336.77,317.61,47.17M,3.64%
Nov 20 2011,322.41,337.33,342.90,320.79,58.27M,-5.15%
Nov 13 2011,339.91,348.51,351.27,337.33,27.39M,-1.26%
Nov 06 2011,344.24,349.12,355.59,323.78,22.23M,-1.78%
Oct 30 2011,350.47,354.20,359.38,343.19,41.94M,-1.15%
Oct 23 2011,354.53,341.05,368.51,339.96,48.45M,5.00%
Oct 16 2011,337.66,342.43,342.90,333.31,47.23M,-0.77%
Oct 09 2011,340.28,315.63,341.88,308.81,111.56M,9.37%
Oct 02 2011,311.13,308.81,319.34,299.33,46.95M,-0.96%
Sep 25 2011,314.15,290.83,318.72,285.38,70.93M,8.31%
Sep 18 2011,290.06,297.52,304.46,287.85,42.46M,-2.35%
Sep 11 2011,297.05,273.84,304.83,270.44,60.81M,5.31%
Sep 04 2011,282.06,284.46,291.94,275.60,58.30M,-1.94%
Aug 28 2011,287.63,277.68,295.79,276.81,38.33M,5.30%
Aug 21 2011,273.16,274.57,285.57,268.07,89.33M,-1.00%
Aug 14 2011,275.91,301.37,306.09,269.32,58.25M,-6.33%
Aug 07 2011,294.57,310.05,310.05,290.50,69.28M,-8.34%
Jul 31 2011,321.36,344.79,350.21,313.15,38.96M,-6.65%
Jul 24 2011,344.27,349.49,351.71,338.00,42.00M,-1.85%
Jul 17 2011,350.76,339.19,352.71,335.76,37.60M,3.55%
Jul 10 2011,338.74,366.34,369.09,337.33,69.48M,-8.24%
Jul 03 2011,369.15,367.92,375.02,362.88,25.40M,1.45%
Jun 26 2011,363.89,351.18,368.33,349.77,37.76M,2.59%
Jun 19 2011,354.69,343.32,356.89,328.96,41.00M,3.26%
Jun 12 2011,343.49,353.27,357.61,338.73,39.09M,-3.24%
Jun 05 2011,354.99,349.98,360.15,346.65,29.10M,1.64%
May 29 2011,349.26,348.01,352.56,342.42,48.79M,1.03%
May 22 2011,345.70,353.19,355.17,341.87,40.22M,-2.19%
May 15 2011,353.44,356.68,357.47,347.63,39.70M,-0.99%
May 08 2011,356.97,360.90,362.74,355.63,29.50M,-0.51%
May 01 2011,358.79,362.02,366.74,351.84,68.22M,-0.46%
Apr 24 2011,360.43,361.52,367.67,358.16,83.41M,-0.13%
Apr 17 2011,360.90,362.01,367.97,357.18,102.20M,-2.66%
Apr 10 2011,370.76,396.28,411.39,369.27,100.09M,-7.37%
Apr 03 2011,400.25,399.96,409.14,397.79,27.08M,0.29%
Mar 27 2011,399.11,389.30,404.92,385.67,51.95M,1.74%
Mar 20 2011,392.28,366.03,395.00,360.20,39.85M,7.55%
Mar 13 2011,364.75,376.40,385.45,363.70,33.98M,-3.69%
Mar 06 2011,378.74,376.52,388.53,374.56,33.27M,-0.27%
Feb 27 2011,379.77,374.79,388.78,368.02,45.23M,1.83%
Feb 20 2011,372.96,384.46,394.11,367.84,49.41M,-3.00%
Feb 13 2011,384.50,377.52,390.04,377.08,24.99M,1.96%
Feb 06 2011,377.12,381.35,391.86,374.58,40.34M,-0.23%
Jan 30 2011,378.00,389.24,392.40,375.33,40.24M,-3.79%
Jan 23 2011,392.91,401.82,409.87,389.50,42.82M,-2.33%
Jan 16 2011,402.30,396.86,413.69,395.78,36.81M,1.23%
Jan 09 2011,397.40,418.57,427.02,395.00,65.42M,-4.94%
Jan 02 2011,418.04,427.12,433.94,416.25,29.93M,-2.09%
Dec 26 2010,426.97,416.33,428.36,416.33,24.90M,2.16%
Dec 19 2010,417.96,403.32,419.41,403.31,35.19M,2.33%
Dec 12 2010,408.43,390.54,409.26,381.36,27.55M,4.74%
Dec 05 2010,389.95,388.18,396.24,386.20,33.12M,0.62%
Nov 28 2010,387.56,380.12,390.40,373.57,32.51M,2.73%
Nov 21 2010,377.27,368.51,385.82,365.89,45.25M,2.64%
Nov 14 2010,367.57,372.43,377.63,364.65,27.02M,-1.14%
Nov 07 2010,371.79,382.48,385.08,370.69,33.46M,-2.72%
Oct 31 2010,382.18,369.95,383.47,369.95,18.75M,3.70%
Oct 24 2010,368.55,379.35,381.35,365.11,46.34M,-2.67%
Oct 17 2010,378.65,382.04,386.80,369.59,54.34M,-0.75%
Oct 10 2010,381.52,382.02,401.58,378.30,57.21M,0.00%
Oct 03 2010,381.52,385.95,392.15,376.65,32.00M,-0.83%
Sep 26 2010,384.73,378.88,385.71,372.18,44.14M,1.74%
Sep 19 2010,378.15,368.96,380.12,368.72,45.03M,2.66%
Sep 12 2010,368.36,358.42,379.50,357.42,46.47M,2.60%
Sep 05 2010,359.04,345.55,359.66,345.47,31.69M,4.23%
Aug 29 2010,344.46,337.25,348.99,330.67,33.64M,2.49%
Aug 22 2010,336.08,343.78,348.49,332.55,28.07M,-2.15%
Aug 15 2010,343.48,342.29,350.36,338.57,25.91M,-0.28%
Aug 08 2010,344.43,353.27,357.54,341.55,26.89M,-3.02%
Aug 01 2010,355.17,347.25,360.50,343.47,26.06M,2.70%
Jul 25 2010,345.82,346.01,352.22,342.29,21.38M,0.07%
Jul 18 2010,345.57,340.93,355.94,338.21,28.29M,0.34%
Jul 11 2010,344.40,353.46,360.90,339.44,64.83M,-3.37%
Jul 04 2010,356.41,338.57,357.24,337.33,29.55M,5.37%
Jun 27 2010,338.26,343.53,349.36,336.84,34.07M,-1.81%
Jun 20 2010,344.49,347.18,351.43,337.07,32.54M,-0.30%
Jun 13 2010,345.54,328.66,349.11,328.66,37.39M,5.91%
Jun 06 2010,326.26,336.09,336.09,324.50,34.96M,-3.60%
May 30 2010,338.44,339.19,339.57,324.63,29.83M,1.92%
May 23 2010,332.06,323.81,332.92,311.30,42.00M,3.71%
May 16 2010,320.19,326.79,329.89,317.29,40.89M,-2.65%
May 09 2010,328.89,324.93,338.20,324.93,32.37M,1.34%
May 02 2010,324.54,335.84,336.71,323.33,40.90M,-4.43%
Apr 25 2010,339.58,338.59,342.14,331.75,32.67M,0.41%
Apr 18 2010,338.19,344.11,346.01,333.98,37.66M,-2.21%
Apr 11 2010,345.84,333.10,350.32,326.79,94.60M,4.20%
Apr 04 2010,331.90,332.25,334.57,324.61,36.54M,0.21%
Mar 28 2010,331.19,342.05,343.53,323.27,45.89M,-3.76%
Mar 21 2010,344.14,341.31,355.94,340.17,33.21M,0.09%
Mar 14 2010,343.83,329.20,346.63,326.92,44.32M,3.71%
Mar 07 2010,331.54,329.02,335.35,324.66,31.43M,1.43%
Feb 28 2010,326.88,326.36,331.94,322.95,26.18M,1.30%
Feb 21 2010,322.69,316.88,326.17,316.37,34.34M,2.74%
Feb 14 2010,314.07,310.92,318.28,306.93,31.08M,1.36%
Feb 07 2010,309.86,294.53,312.30,290.76,33.28M,6.20%
Jan 31 2010,291.78,303.48,313.77,288.84,48.33M,-4.96%
Jan 24 2010,307.01,316.25,318.72,298.24,44.08M,-3.89%
Jan 17 2010,319.42,330.26,333.61,316.50,38.24M,-3.75%
Jan 10 2010,331.85,306.96,335.21,306.82,65.88M,8.59%
Jan 03 2010,305.61,323.69,332.74,304.84,41.32M,-5.26%
Dec 27 2009,322.59,321.84,324.19,317.90,20.51M,0.36%
Dec 20 2009,321.43,307.92,322.45,307.17,30.82M,2.60%
Dec 13 2009,313.27,304.47,318.97,303.85,46.88M,2.65%
Dec 06 2009,305.18,297.01,308.64,294.55,34.53M,3.24%
Nov 29 2009,295.61,291.77,301.00,291.48,35.99M,2.39%
Nov 22 2009,288.70,300.24,304.72,286.13,32.82M,-4.07%
Nov 15 2009,300.96,293.60,303.72,289.62,34.72M,2.84%
Nov 08 2009,292.65,276.56,294.48,272.84,35.94M,6.36%
Nov 01 2009,275.15,273.21,280.28,264.17,40.43M,0.56%
Oct 25 2009,273.61,280.95,285.24,265.67,66.17M,-2.38%
Oct 18 2009,280.28,272.72,282.14,269.15,53.14M,3.20%
Oct 11 2009,271.60,271.60,283.76,270.99,32.83M,0.57%
Oct 04 2009,270.06,287.11,291.77,268.70,77.28M,-6.81%
Sep 27 2009,289.80,282.66,291.45,280.78,29.87M,4.29%
Sep 20 2009,277.87,292.59,300.25,276.95,89.58M,-5.23%
