date,open,high,low,close
Sep 17 2018,11464.95,11464.95,10866.45,11143.10
Sep 10 2018,11570.25,11573.00,11250.20,11515.20
Sep 03 2018,11751.80,11751.80,11393.85,11589.10
Aug 27 2018,11605.85,11760.20,11595.60,11680.50
Aug 20 2018,11502.10,11620.70,11499.65,11557.10
Aug 13 2018,11369.60,11486.45,11340.30,11470.75
Aug 06 2018,11401.50,11495.20,11359.70,11429.50
Jul 30 2018,11296.65,11390.55,11234.95,11360.80
Jul 23 2018,11019.85,11283.40,11010.95,11278.35
Jul 16 2018,11018.95,11076.20,10925.60,11010.20
Jul 09 2018,10838.30,11078.30,10807.15,11018.90
Jul 02 2018,10732.35,10816.35,10604.65,10772.65
Jun 25 2018,10822.90,10831.05,10557.70,10714.30
Jun 18 2018,10830.20,10837.00,10701.20,10821.85
Jun 11 2018,10781.85,10893.25,10755.40,10817.70
Jun 04 2018,10765.95,10818.00,10550.90,10767.65
May 28 2018,10648.35,10764.75,10558.45,10696.20
May 21 2018,10616.70,10628.05,10417.80,10605.15
May 14 2018,10815.15,10929.20,10589.10,10596.40
May 07 2018,10653.15,10812.05,10635.65,10806.50
Apr 30 2018,10705.75,10784.65,10601.60,10618.25
Apr 23 2018,10592.80,10719.80,10514.95,10692.30
Apr 16 2018,10398.30,10594.20,10396.35,10564.05
Apr 09 2018,10333.70,10519.90,10328.50,10480.60
Apr 02 2018,10151.65,10350.45,10111.30,10331.60
Mar 26 2018,9989.15,10207.90,9958.55,10113.70
Mar 19 2018,10215.35,10227.30,9951.90,9998.05
Mar 12 2018,10301.60,10478.60,10180.25,10195.15
Mar 05 2018,10428.30,10441.35,10141.55,10226.85
Feb 26 2018,10526.55,10631.65,10447.15,10458.35
Feb 19 2018,10488.90,10499.10,10302.75,10491.05
Feb 12 2018,10518.20,10618.10,10434.05,10452.30
Feb 05 2018,10604.30,10702.75,10276.30,10454.95
Jan 29 2018,11079.35,11171.55,10736.10,10760.60
Jan 22 2018,10883.20,11110.10,10881.40,11069.65
Jan 15 2018,10718.50,10906.85,10666.75,10894.70
Jan 08 2018,10591.70,10690.40,10588.55,10681.25
Jan 01 2018,10477.55,10566.10,10404.65,10558.85
Dec 25 2017,10512.30,10552.40,10460.45,10530.70
Dec 18 2017,10263.10,10501.10,10074.80,10493.00
Dec 11 2017,10310.50,10373.10,10141.55,10333.25
Dec 04 2017,10175.05,10270.85,10033.35,10265.65
Nov 27 2017,10361.05,10409.55,10108.55,10121.80
Nov 20 2017,10287.20,10404.50,10261.50,10389.70
Nov 13 2017,10322.00,10343.60,10094.00,10283.60
Nov 06 2017,10431.75,10490.45,10254.10,10321.75
Oct 30 2017,10353.85,10461.70,10323.95,10452.50
Oct 23 2017,10176.65,10366.15,10124.50,10323.05
Oct 16 2017,10207.40,10251.85,10123.35,10146.55
Oct 09 2017,9988.20,10191.90,9955.80,10167.45
Oct 02 2017,9893.30,9989.35,9831.05,9979.70
Sep 25 2017,9960.10,9960.50,9687.55,9788.60
Sep 18 2017,10133.10,10178.95,9952.80,9964.40
Sep 11 2017,9971.75,10131.95,9968.80,10085.40
Sep 04 2017,9984.15,9988.40,9861.00,9934.80
Aug 28 2017,9907.15,9983.45,9783.75,9974.40
Aug 21 2017,9864.25,9884.35,9740.10,9857.05
Aug 14 2017,9755.75,9947.80,9752.10,9837.40
Aug 07 2017,10074.80,10088.10,9685.55,9710.80
Jul 31 2017,10034.70,10137.85,9988.35,10066.40
Jul 24 2017,9936.80,10114.85,9919.60,10014.50
Jul 17 2017,9908.15,9928.20,9792.05,9915.25
Jul 10 2017,9719.30,9913.30,9646.45,9886.35
Jul 03 2017,9587.95,9700.70,9543.55,9665.80
Jun 26 2017,9594.05,9615.40,9448.75,9520.90
Jun 19 2017,9626.40,9698.85,9565.30,9574.95
Jun 12 2017,9646.70,9654.15,9560.80,9588.05
Jun 05 2017,9656.30,9709.30,9608.15,9668.25
May 29 2017,9560.05,9673.50,9547.70,9653.50
May 22 2017,9480.25,9604.90,9341.65,9595.10
May 15 2017,9433.55,9532.60,9390.75,9427.90
May 08 2017,9311.45,9450.65,9297.95,9400.90
May 01 2017,9339.85,9377.10,9269.90,9285.30
Apr 24 2017,9135.35,9367.15,9130.55,9304.05
Apr 17 2017,9144.75,9217.90,9075.15,9119.40
Apr 10 2017,9225.60,9246.40,9144.95,9150.80
Apr 03 2017,9220.60,9273.90,9188.10,9198.30
Mar 27 2017,9093.45,9191.70,9024.65,9173.75
Mar 20 2017,9166.95,9167.60,9019.30,9108.00
Mar 13 2017,9091.65,9218.40,9060.50,9160.05
Mar 06 2017,8915.10,8977.85,8891.95,8934.55
Feb 27 2017,8943.70,8992.50,8860.10,8897.55
Feb 20 2017,8818.55,8982.15,8809.80,8939.50
Feb 13 2017,8819.80,8896.45,8712.85,8821.70
Feb 06 2017,8785.45,8822.10,8715.00,8793.55
Jan 30 2017,8635.55,8757.60,8537.50,8740.95
Jan 23 2017,8329.60,8672.70,8327.20,8641.25
Jan 16 2017,8390.95,8460.30,8340.95,8349.35
Jan 09 2017,8259.35,8461.05,8227.75,8400.35
Jan 02 2017,8210.10,8306.85,8133.80,8243.80
Dec 26 2016,7965.10,8197.00,7893.80,8185.80
Dec 19 2016,8126.00,8132.50,7942.05,7985.75
Dec 12 2016,8230.65,8230.65,8121.95,8139.45
Dec 05 2016,8088.75,8274.95,8056.85,8261.75
Nov 28 2016,8080.65,8250.80,8066.50,8086.80
Nov 21 2016,8102.10,8122.25,7916.40,8114.30
Nov 14 2016,8284.85,8288.55,8048.30,8074.10
Nov 07 2016,8535.75,8598.45,8002.25,8296.30
Oct 31 2016,8653.15,8669.60,8400.25,8433.75
Oct 24 2016,8709.85,8736.95,8550.25,8638.00
Oct 17 2016,8612.95,8727.00,8506.15,8693.05
Oct 10 2016,8735.35,8745.80,8541.35,8583.40
Oct 03 2016,8666.15,8806.95,8635.00,8697.60
Sep 26 2016,8807.90,8809.55,8555.20,8611.15
Sep 19 2016,8788.45,8893.35,8757.30,8831.55
Sep 12 2016,8732.95,8847.65,8688.90,8779.85
Sep 05 2016,8852.70,8968.70,8848.45,8866.70
Aug 29 2016,8583.75,8824.10,8543.75,8809.65
Aug 22 2016,8667.00,8684.85,8547.55,8572.55
Aug 15 2016,8670.25,8696.60,8600.45,8666.90
Aug 08 2016,8712.85,8728.35,8540.05,8592.15
Aug 01 2016,8654.30,8711.30,8518.15,8683.15
Jul 25 2016,8519.95,8674.70,8517.20,8638.50
Jul 18 2016,8564.05,8587.10,8476.70,8541.20
Jul 11 2016,8413.35,8594.80,8407.05,8541.40
Jul 04 2016,8376.75,8398.45,8287.55,8323.20
Jun 27 2016,8039.35,8356.75,8039.35,8328.35
Jun 20 2016,8115.75,8285.60,7927.05,8088.60
Jun 13 2016,8102.25,8213.20,8063.90,8170.20
Jun 06 2016,8228.75,8294.95,8162.85,8170.05
May 30 2016,8166.50,8262.00,8134.30,8220.80
May 23 2016,7813.95,8164.20,7715.80,8156.65
May 16 2016,7831.20,7940.10,7735.75,7749.70
May 09 2016,7755.25,7916.05,7753.55,7814.90
May 02 2016,7822.70,7890.25,7678.35,7733.45
Apr 25 2016,7894.80,7992.00,7788.70,7849.80
Apr 18 2016,7908.15,7978.45,7842.75,7899.30
Apr 11 2016,7577.80,7864.80,7516.85,7850.45
Apr 04 2016,7733.15,7764.45,7526.70,7555.20
Mar 28 2016,7741.00,7777.60,7582.25,7713.05
Mar 21 2016,7619.20,7728.20,7617.70,7716.50
Mar 14 2016,7542.60,7613.60,7405.15,7604.35
Mar 07 2016,7486.40,7547.10,7424.30,7510.20
Feb 29 2016,7050.45,7505.90,6825.80,7485.35
Feb 22 2016,7208.85,7252.40,6961.40,7029.75
Feb 15 2016,7057.35,7226.85,6960.65,7210.75
Feb 08 2016,7489.70,7512.55,6869.00,6980.95
Feb 01 2016,7589.50,7600.45,7350.30,7489.10
Jan 25 2016,7468.75,7575.65,7402.80,7563.55
Jan 18 2016,7420.35,7470.90,7241.50,7422.45
Jan 11 2016,7527.45,7605.10,7425.80,7437.80
Jan 04 2016,7924.55,7937.55,7556.60,7601.35
Dec 28 2015,7863.20,7955.55,7863.00,7946.35
Dec 21 2015,7745.65,7888.75,7733.45,7861.05
Dec 14 2015,7558.20,7852.90,7551.05,7761.95
Dec 07 2015,7816.55,7825.40,7575.30,7610.45
Nov 30 2015,7936.25,7979.30,7775.70,7781.90
Nov 23 2015,7869.50,7959.30,7812.65,7942.70
Nov 16 2015,7732.95,7906.95,7714.15,7856.55
Nov 09 2015,7788.25,7937.75,7730.90,7762.25
Nov 02 2015,8054.55,8116.10,7926.15,7954.30
Oct 26 2015,8333.65,8336.30,8044.40,8065.80
Oct 19 2015,8262.55,8328.10,8217.15,8295.45
Oct 12 2015,8231.50,8246.40,8088.60,8238.15
Oct 05 2015,8005.10,8232.20,8005.10,8189.70
Sep 28 2015,7892.80,8008.25,7691.20,7950.90
Sep 21 2015,7911.50,8021.60,7723.25,7868.50
Sep 14 2015,7811.10,8055.00,7761.85,7981.90
Sep 07 2015,7685.85,7864.85,7539.50,7789.30
Aug 31 2015,8009.25,8043.60,7626.85,7655.05
Aug 24 2015,8055.95,8091.80,7667.25,8001.95
Aug 17 2015,8530.50,8530.60,8225.05,8299.95
Aug 10 2015,8577.00,8621.55,8337.95,8518.55
Aug 03 2015,8510.65,8606.30,8448.25,8564.60
Jul 27 2015,8492.10,8548.95,8321.75,8532.85
Jul 20 2015,8623.90,8654.75,8498.65,8521.55
Jul 13 2015,8397.25,8642.95,8355.40,8609.85
Jul 06 2015,8386.15,8561.35,8315.40,8360.55
Jun 29 2015,8247.05,8497.75,8195.65,8484.90
Jun 22 2015,8259.30,8423.15,8257.40,8381.10
Jun 15 2015,7986.60,8250.80,7944.85,8224.95
Jun 08 2015,8124.35,8163.05,7940.30,7982.90
Jun 01 2015,8417.25,8467.15,8056.75,8114.70
May 25 2015,8438.15,8443.90,8270.15,8433.65
May 18 2015,8284.95,8489.55,8271.95,8458.95
May 11 2015,8243.20,8332.75,8089.80,8262.35
May 04 2015,8230.05,8355.65,7997.15,8191.50
Apr 27 2015,8330.55,8334.45,8144.75,8181.50
Apr 20 2015,8618.80,8619.95,8273.35,8305.25
Apr 13 2015,8801.75,8841.65,8596.70,8606.00
Apr 06 2015,8615.80,8787.40,8573.75,8780.35
Mar 30 2015,8390.95,8603.40,8380.75,8586.25
Mar 23 2015,8591.55,8627.75,8269.15,8341.40
Mar 16 2015,8656.75,8788.20,8553.00,8570.90
Mar 09 2015,8891.15,8891.30,8631.75,8647.75
Mar 02 2015,8953.85,9119.20,8849.35,8937.75
Feb 23 2015,8856.85,8869.00,8669.45,8844.60
Feb 16 2015,8831.40,8913.45,8793.40,8833.60
Feb 09 2015,8584.40,8822.10,8470.50,8805.50
Feb 02 2015,8802.50,8840.80,8645.55,8661.05
Jan 26 2015,8871.35,8996.60,8775.10,8808.90
Jan 19 2015,8550.05,8866.40,8531.50,8835.60
Jan 12 2015,8291.35,8530.75,8236.65,8513.80
Jan 05 2015,8407.95,8445.60,8065.45,8284.50
Dec 29 2014,8214.70,8410.60,8214.70,8395.45
Dec 22 2014,8255.00,8364.75,8147.95,8200.70
Dec 15 2014,8160.75,8263.45,7961.35,8225.20
Dec 08 2014,8538.65,8546.35,8216.30,8224.10
Dec 01 2014,8605.10,8626.95,8504.65,8538.30
Nov 24 2014,8490.95,8617.00,8429.45,8588.25
Nov 17 2014,8378.40,8489.80,8349.10,8477.35
Nov 10 2014,8337.80,8415.05,8304.45,8389.90
Nov 03 2014,8348.15,8365.55,8290.25,8337.00
Oct 27 2014,8064.35,8330.75,7985.65,8322.20
Oct 20 2014,7896.95,8031.75,7856.95,8014.55
Oct 13 2014,7831.00,7928.00,7723.85,7779.70
Oct 06 2014,7897.40,7972.35,7815.75,7859.95
Sep 29 2014,7978.45,8030.90,7923.85,7945.55
Sep 22 2014,8084.45,8159.90,7841.80,7968.85
Sep 15 2014,8070.35,8160.90,7925.15,8121.45
Sep 08 2014,8132.95,8180.20,8057.30,8105.50
Sep 01 2014,7990.35,8141.90,7984.00,8086.85
Aug 25 2014,7931.75,7968.25,7862.45,7954.35
Aug 18 2014,7785.25,7929.05,7779.20,7913.20
Aug 11 2014,7619.85,7796.70,7598.60,7791.70
Aug 04 2014,7639.55,7752.45,7540.10,7568.55
Jul 28 2014,7792.90,7799.90,7593.90,7602.60
Jul 21 2014,7701.65,7840.95,7674.00,7790.45
Jul 14 2014,7469.00,7685.00,7422.15,7663.90
Jul 07 2014,7780.40,7808.85,7447.20,7459.60
Jun 30 2014,7534.05,7758.00,7531.60,7751.60
Jun 23 2014,7514.00,7593.35,7441.60,7508.80
Jun 16 2014,7534.80,7663.00,7487.55,7511.45
Jun 09 2014,7621.65,7700.05,7525.35,7542.10
Jun 02 2014,7264.05,7592.70,7239.50,7583.40
May 26 2014,7428.75,7504.00,7118.45,7229.95
May 19 2014,7276.85,7381.00,7193.55,7367.10
May 12 2014,6863.40,7563.50,6862.90,7203.00
May 05 2014,6681.65,6871.35,6638.55,6858.80
Apr 28 2014,6778.55,6786.25,6656.80,6694.80
Apr 21 2014,6789.25,6869.85,6772.85,6782.75
Apr 14 2014,6792.70,6813.40,6665.15,6779.40
Apr 07 2014,6694.25,6819.05,6650.40,6776.30
Mar 31 2014,6723.15,6776.75,6662.40,6694.35
Mar 24 2014,6510.50,6702.60,6510.50,6695.90
Mar 17 2014,6532.45,6574.95,6473.25,6493.20
Mar 10 2014,6491.70,6562.85,6432.70,6504.20
Mar 03 2014,6264.35,6537.80,6212.25,6526.65
Feb 24 2014,6140.95,6282.70,6130.80,6276.95
Feb 17 2014,6071.30,6160.35,6066.80,6155.45
Feb 10 2014,6072.80,6106.60,5984.60,6048.35
Feb 03 2014,6058.80,6079.95,5933.30,6063.20
Jan 27 2014,6186.30,6188.55,6027.25,6089.50
Jan 20 2014,6261.75,6355.60,6243.35,6266.75
Jan 13 2014,6189.55,6346.50,6189.55,6261.65
Jan 06 2014,6220.85,6239.10,6139.60,6171.45
Dec 30 2013,6336.40,6358.30,6171.25,6211.15
Dec 23 2013,6267.20,6324.90,6259.45,6313.80
Dec 16 2013,6168.35,6284.50,6129.95,6274.25
Dec 09 2013,6415.00,6415.25,6161.40,6168.40
Dec 02 2013,6171.15,6300.55,6149.90,6259.90
Nov 25 2013,6035.95,6182.50,6030.30,6176.10
Nov 18 2013,6111.05,6212.40,5972.80,5995.45
Nov 11 2013,6110.40,6141.65,5972.45,6056.15
Nov 04 2013,6282.15,6304.75,6120.95,6140.75
Oct 28 2013,6155.10,6332.60,6079.20,6307.20
Oct 21 2013,6202.00,6252.45,6116.60,6144.90
Oct 14 2013,6093.00,6201.45,6032.55,6189.35
Oct 07 2013,5889.05,6107.60,5825.85,6096.20
Sep 30 2013,5801.05,5950.45,5700.95,5907.30
Sep 23 2013,5945.80,5989.40,5811.10,5833.20
Sep 16 2013,5930.30,6142.50,5798.15,6012.10
Sep 09 2013,5738.50,5932.00,5738.20,5850.60
Sep 02 2013,5480.25,5688.60,5318.90,5680.40
Aug 26 2013,5499.40,5528.70,5118.85,5471.80
Aug 19 2013,5497.55,5504.10,5254.05,5471.75
Aug 12 2013,5606.70,5754.55,5496.05,5507.85
Aug 05 2013,5682.40,5721.00,5486.85,5565.65
Jul 29 2013,5869.95,5886.00,5649.00,5677.90
Jul 22 2013,6009.75,6093.35,5869.50,5886.20
Jul 15 2013,5991.20,6066.85,5910.95,6029.20
Jul 08 2013,5833.15,6019.00,5775.55,6009.00
Jul 01 2013,5834.10,5904.35,5760.40,5867.90
Jun 24 2013,5638.05,5852.95,5566.25,5842.20
Jun 17 2013,5820.40,5863.40,5616.85,5667.65
Jun 10 2013,5907.90,5931.65,5683.10,5808.40
Jun 03 2013,5997.35,6011.00,5869.50,5881.00
May 27 2013,5989.40,6133.75,5975.55,5985.95
May 20 2013,6198.00,6229.45,5936.80,5983.55
May 13 2013,6098.20,6199.95,5970.05,6187.30
May 06 2013,5944.90,6105.30,5928.45,6094.75
Apr 29 2013,5877.60,6019.45,5867.80,5944.00
Apr 22 2013,5789.85,5924.60,5789.80,5871.45
Apr 15 2013,5508.50,5794.35,5500.30,5783.10
Apr 08 2013,5550.50,5610.65,5477.20,5528.55
Apr 01 2013,5697.35,5754.60,5534.70,5553.25
